
Komşu olmayan ilçeler arasındaki mesafeler:
Aliağa (0) - Balçova (1): Tanımlı = 91 km, Hesaplanan = 76 km, Fark = 15 km
Aliağa (0) - Bayındır (2): Tanımlı = 124 km, Hesaplanan = 121 km, Fark = 3 km
Aliağa (0) - Bayraklı (3): Tanımlı = 55 km, Hesaplanan = 52 km, Fark = 3 km
Aliağa (0) - Beydağ (5): Tanımlı = 188 km, Hesaplanan = 185 km, Fark = 3 km
Aliağa (0) - Bornova (6): Tanımlı = 61 km, Hesaplanan = 58 km, Fark = 3 km
Aliağa (0) - Buca (7): Tanımlı = 76 km, Hesaplanan = 69 km, Fark = 7 km
Aliağa (0) - Çeşme (8): Tanımlı = 165 km, Hesaplanan = 150 km, Fark = 15 km
Aliağa (0) - Çiğli (9): Tanımlı = 41 km, Hesaplanan = 41 km, Fark = 0 km
Aliağa (0) - Dikili (10): Tanımlı = 60 km, Hesaplanan = 60 km, Fark = 0 km
Aliağa (0) - Gaziemir (12): Tanımlı = 80 km, Hesaplanan = 66 km, Fark = 14 km
Aliağa (0) - Güzelbahçe (13): Tanımlı = 107 km, Hesaplanan = 93 km, Fark = 14 km
Aliağa (0) - Karabağlar (14): Tanımlı = 83 km, Hesaplanan = 62 km, Fark = 21 km
Aliağa (0) - Karaburun (15): Tanımlı = 182 km, Hesaplanan = 167 km, Fark = 15 km
Aliağa (0) - Karşıyaka (16): Tanımlı = 50 km, Hesaplanan = 47 km, Fark = 3 km
Aliağa (0) - Kemalpaşa (17): Tanımlı = 79 km, Hesaplanan = 76 km, Fark = 3 km
Aliağa (0) - Kınık (18): Tanımlı = 64 km, Hesaplanan = 64 km, Fark = 0 km
Aliağa (0) - Kiraz (19): Tanımlı = 189 km, Hesaplanan = 185 km, Fark = 4 km
Aliağa (0) - Konak (20): Tanımlı = 63 km, Hesaplanan = 60 km, Fark = 3 km
Aliağa (0) - Menderes (21): Tanımlı = 96 km, Hesaplanan = 92 km, Fark = 4 km
Aliağa (0) - Narlıdere (23): Tanımlı = 96 km, Hesaplanan = 81 km, Fark = 15 km
Aliağa (0) - Ödemiş (24): Tanımlı = 160 km, Hesaplanan = 157 km, Fark = 3 km
Aliağa (0) - Seferihisar (25): Tanımlı = 127 km, Hesaplanan = 112 km, Fark = 15 km
Aliağa (0) - Selçuk (26): Tanımlı = 129 km, Hesaplanan = 125 km, Fark = 4 km
Aliağa (0) - Tire (27): Tanımlı = 138 km, Hesaplanan = 134 km, Fark = 4 km
Aliağa (0) - Torbalı (28): Tanımlı = 100 km, Hesaplanan = 96 km, Fark = 4 km
Aliağa (0) - Urla (29): Tanımlı = 119 km, Hesaplanan = 104 km, Fark = 15 km
Balçova (1) - Aliağa (0): Tanımlı = 91 km, Hesaplanan = 76 km, Fark = 15 km
Balçova (1) - Bayındır (2): Tanımlı = 75 km, Hesaplanan = 74 km, Fark = 1 km
Balçova (1) - Bayraklı (3): Tanımlı = 37 km, Hesaplanan = 24 km, Fark = 13 km
Balçova (1) - Bergama (4): Tanımlı = 138 km, Hesaplanan = 123 km, Fark = 15 km
Balçova (1) - Beydağ (5): Tanımlı = 138 km, Hesaplanan = 138 km, Fark = 0 km
Balçova (1) - Bornova (6): Tanımlı = 34 km, Hesaplanan = 29 km, Fark = 5 km
Balçova (1) - Buca (7): Tanımlı = 14 km, Hesaplanan = 14 km, Fark = 0 km
Balçova (1) - Çeşme (8): Tanımlı = 74 km, Hesaplanan = 74 km, Fark = 0 km
Balçova (1) - Çiğli (9): Tanımlı = 46 km, Hesaplanan = 35 km, Fark = 11 km
Balçova (1) - Dikili (10): Tanımlı = 150 km, Hesaplanan = 135 km, Fark = 15 km
Balçova (1) - Foça (11): Tanımlı = 97 km, Hesaplanan = 83 km, Fark = 14 km
Balçova (1) - Gaziemir (12): Tanımlı = 11 km, Hesaplanan = 11 km, Fark = 0 km
Balçova (1) - Güzelbahçe (13): Tanımlı = 17 km, Hesaplanan = 17 km, Fark = 0 km
Balçova (1) - Karaburun (15): Tanımlı = 91 km, Hesaplanan = 91 km, Fark = 0 km
Balçova (1) - Karşıyaka (16): Tanımlı = 42 km, Hesaplanan = 29 km, Fark = 13 km
Balçova (1) - Kemalpaşa (17): Tanımlı = 50 km, Hesaplanan = 47 km, Fark = 3 km
Balçova (1) - Kınık (18): Tanımlı = 154 km, Hesaplanan = 139 km, Fark = 15 km
Balçova (1) - Kiraz (19): Tanımlı = 139 km, Hesaplanan = 138 km, Fark = 1 km
Balçova (1) - Menderes (21): Tanımlı = 46 km, Hesaplanan = 46 km, Fark = 0 km
Balçova (1) - Menemen (22): Tanımlı = 65 km, Hesaplanan = 50 km, Fark = 15 km
Balçova (1) - Ödemiş (24): Tanımlı = 110 km, Hesaplanan = 110 km, Fark = 0 km
Balçova (1) - Seferihisar (25): Tanımlı = 36 km, Hesaplanan = 36 km, Fark = 0 km
Balçova (1) - Selçuk (26): Tanımlı = 79 km, Hesaplanan = 79 km, Fark = 0 km
Balçova (1) - Tire (27): Tanımlı = 88 km, Hesaplanan = 87 km, Fark = 1 km
Balçova (1) - Torbalı (28): Tanımlı = 50 km, Hesaplanan = 50 km, Fark = 0 km
Balçova (1) - Urla (29): Tanımlı = 28 km, Hesaplanan = 28 km, Fark = 0 km
Bayındır (2) - Aliağa (0): Tanımlı = 124 km, Hesaplanan = 121 km, Fark = 3 km
Bayındır (2) - Balçova (1): Tanımlı = 75 km, Hesaplanan = 74 km, Fark = 1 km
Bayındır (2) - Bayraklı (3): Tanımlı = 71 km, Hesaplanan = 71 km, Fark = 0 km
Bayındır (2) - Bergama (4): Tanımlı = 172 km, Hesaplanan = 168 km, Fark = 4 km
Bayındır (2) - Beydağ (5): Tanımlı = 64 km, Hesaplanan = 64 km, Fark = 0 km
Bayındır (2) - Bornova (6): Tanımlı = 68 km, Hesaplanan = 68 km, Fark = 0 km
Bayındır (2) - Buca (7): Tanımlı = 60 km, Hesaplanan = 60 km, Fark = 0 km
Bayındır (2) - Çeşme (8): Tanımlı = 149 km, Hesaplanan = 148 km, Fark = 1 km
Bayındır (2) - Çiğli (9): Tanımlı = 80 km, Hesaplanan = 80 km, Fark = 0 km
Bayındır (2) - Dikili (10): Tanımlı = 184 km, Hesaplanan = 180 km, Fark = 4 km
Bayındır (2) - Foça (11): Tanımlı = 130 km, Hesaplanan = 128 km, Fark = 2 km
Bayındır (2) - Gaziemir (12): Tanımlı = 64 km, Hesaplanan = 64 km, Fark = 0 km
Bayındır (2) - Güzelbahçe (13): Tanımlı = 91 km, Hesaplanan = 91 km, Fark = 0 km
Bayındır (2) - Karabağlar (14): Tanımlı = 67 km, Hesaplanan = 67 km, Fark = 0 km
Bayındır (2) - Karaburun (15): Tanımlı = 166 km, Hesaplanan = 165 km, Fark = 1 km
Bayındır (2) - Karşıyaka (16): Tanımlı = 75 km, Hesaplanan = 75 km, Fark = 0 km
Bayındır (2) - Kınık (18): Tanımlı = 188 km, Hesaplanan = 184 km, Fark = 4 km
Bayındır (2) - Kiraz (19): Tanımlı = 64 km, Hesaplanan = 64 km, Fark = 0 km
Bayındır (2) - Konak (20): Tanımlı = 69 km, Hesaplanan = 69 km, Fark = 0 km
Bayındır (2) - Menderes (21): Tanımlı = 58 km, Hesaplanan = 58 km, Fark = 0 km
Bayındır (2) - Menemen (22): Tanımlı = 99 km, Hesaplanan = 95 km, Fark = 4 km
Bayındır (2) - Narlıdere (23): Tanımlı = 80 km, Hesaplanan = 79 km, Fark = 1 km
Bayındır (2) - Seferihisar (25): Tanımlı = 111 km, Hesaplanan = 110 km, Fark = 1 km
Bayındır (2) - Selçuk (26): Tanımlı = 58 km, Hesaplanan = 58 km, Fark = 0 km
Bayındır (2) - Urla (29): Tanımlı = 103 km, Hesaplanan = 102 km, Fark = 1 km
Bayraklı (3) - Aliağa (0): Tanımlı = 55 km, Hesaplanan = 52 km, Fark = 3 km
Bayraklı (3) - Balçova (1): Tanımlı = 37 km, Hesaplanan = 24 km, Fark = 13 km
Bayraklı (3) - Bayındır (2): Tanımlı = 71 km, Hesaplanan = 71 km, Fark = 0 km
Bayraklı (3) - Bergama (4): Tanımlı = 102 km, Hesaplanan = 99 km, Fark = 3 km
Bayraklı (3) - Beydağ (5): Tanımlı = 134 km, Hesaplanan = 134 km, Fark = 0 km
Bayraklı (3) - Buca (7): Tanımlı = 23 km, Hesaplanan = 17 km, Fark = 6 km
Bayraklı (3) - Çeşme (8): Tanımlı = 111 km, Hesaplanan = 98 km, Fark = 13 km
Bayraklı (3) - Çiğli (9): Tanımlı = 11 km, Hesaplanan = 11 km, Fark = 0 km
Bayraklı (3) - Dikili (10): Tanımlı = 115 km, Hesaplanan = 111 km, Fark = 4 km
Bayraklı (3) - Foça (11): Tanımlı = 61 km, Hesaplanan = 59 km, Fark = 2 km
Bayraklı (3) - Gaziemir (12): Tanımlı = 26 km, Hesaplanan = 14 km, Fark = 12 km
Bayraklı (3) - Güzelbahçe (13): Tanımlı = 53 km, Hesaplanan = 41 km, Fark = 12 km
Bayraklı (3) - Karabağlar (14): Tanımlı = 11 km, Hesaplanan = 10 km, Fark = 1 km
Bayraklı (3) - Karaburun (15): Tanımlı = 128 km, Hesaplanan = 115 km, Fark = 13 km
Bayraklı (3) - Kemalpaşa (17): Tanımlı = 25 km, Hesaplanan = 25 km, Fark = 0 km
Bayraklı (3) - Kınık (18): Tanımlı = 119 km, Hesaplanan = 115 km, Fark = 4 km
Bayraklı (3) - Kiraz (19): Tanımlı = 135 km, Hesaplanan = 134 km, Fark = 1 km
Bayraklı (3) - Menderes (21): Tanımlı = 42 km, Hesaplanan = 42 km, Fark = 0 km
Bayraklı (3) - Menemen (22): Tanımlı = 29 km, Hesaplanan = 26 km, Fark = 3 km
Bayraklı (3) - Narlıdere (23): Tanımlı = 42 km, Hesaplanan = 29 km, Fark = 13 km
Bayraklı (3) - Ödemiş (24): Tanımlı = 106 km, Hesaplanan = 106 km, Fark = 0 km
Bayraklı (3) - Seferihisar (25): Tanımlı = 73 km, Hesaplanan = 60 km, Fark = 13 km
Bayraklı (3) - Selçuk (26): Tanımlı = 75 km, Hesaplanan = 75 km, Fark = 0 km
Bayraklı (3) - Tire (27): Tanımlı = 84 km, Hesaplanan = 84 km, Fark = 0 km
